Map Name,Level,Diagram Type,Diagram Title,Diagram Notation,Author,Owner,Version,Date,Authorization,Review Date,Template,Type,Percent Done,Modified,User Modified,Contains Drill Down?,Description,Status,Org,URL,Diagram Attachments,Primary Contact,Parent GUID,Objects,Map Path,GUID,Last Promoted Date,Last Changed Date,Changes Since Last Promotion,Change Log,DSLID,Max Activity Count,Hyperlink
NGAS_Process_Model,1.1,Process Flow,System Integration Overview,Simple,J. Smith,Engineering Team,0.35,2025-01-26,Update Pending,,Standard,Draft,100,2025-12-03 17:57:46,J. Smith,Yes,Main process flow diagram,Unclaimed,Engineering,https://internal/diagram/1,DOC-001,M. Johnson,GUID-PARENT-001,15,NGAS_Process_Model\Draft\NGAS_Process_Model,GUID-001,2025-09-19,,0,,DSL-001,7,https://internal/view/1
NGAS_Process_Model,1.2,Data Flow,Data Pipeline Architecture,Simple,A. Williams,Data Team,0.42,2025-02-15,Approved,2025-03-01,Standard,Approved,100,2025-11-28 14:23:12,A. Williams,Yes,Data flow between systems,Active,Data Operations,https://internal/diagram/2,DOC-002,S. Brown,GUID-PARENT-001,22,NGAS_Process_Model\Approved\Data_Pipeline,GUID-002,2025-10-15,2025-11-28,3,Updated connections,DSL-002,12,https://internal/view/2
NGAS_Process_Model,1.3,System Context,External Interfaces,BPMN,R. Davis,Architecture,0.50,2025-03-10,In Review,2025-04-15,Enterprise,Draft,85,2025-12-01 09:15:33,R. Davis,No,External system interfaces,In Progress,Architecture,https://internal/diagram/3,DOC-003,L. Garcia,GUID-PARENT-001,8,NGAS_Process_Model\Draft\Interfaces,GUID-003,2025-08-22,2025-12-01,5,Added new interface,DSL-001,4,https://internal/view/3
NGAS_Process_Model,1.4,Process Flow,Manufacturing Workflow,Simple,T. Martinez,Operations,0.28,2025-01-05,Update Pending,,Standard,Draft,60,2025-11-15 11:42:08,T. Martinez,Yes,Manufacturing process steps,Unclaimed,Manufacturing,https://internal/diagram/4,DOC-004,K. Anderson,GUID-PARENT-002,31,NGAS_Process_Model\Draft\Manufacturing,GUID-004,2025-07-10,2025-11-15,8,Revised workflow,DSL-003,18,https://internal/view/4
NGAS_Process_Model,1.5,Data Flow,Analytics Pipeline,Simple,M. Thompson,Analytics,0.55,2025-04-20,Approved,2025-05-01,Standard,Approved,100,2025-10-22 16:08:45,M. Thompson,Yes,Analytics data processing,Active,Analytics,https://internal/diagram/5,DOC-005,P. White,GUID-PARENT-002,19,NGAS_Process_Model\Approved\Analytics,GUID-005,2025-09-30,2025-10-22,2,Minor updates,DSL-002,9,https://internal/view/5
NGAS_Process_Model,1.6,System Context,Security Architecture,BPMN,C. Harris,Security,0.62,2025-05-12,Approved,2025-06-01,Enterprise,Approved,100,2025-09-18 13:27:19,C. Harris,No,Security controls diagram,Active,Security,https://internal/diagram/6,DOC-006,N. Clark,GUID-PARENT-003,14,NGAS_Process_Model\Approved\Security,GUID-006,2025-08-15,2025-09-18,1,Updated controls,DSL-001,6,https://internal/view/6
NGAS_Process_Model,1.7,Process Flow,Quality Assurance,Simple,E. Lewis,Quality,0.33,2025-02-28,In Review,2025-04-01,Standard,Draft,75,2025-11-30 10:55:27,E. Lewis,Yes,QA process steps,In Progress,Quality,https://internal/diagram/7,DOC-007,F. Robinson,GUID-PARENT-003,27,NGAS_Process_Model\Draft\QA,GUID-007,2025-06-20,2025-11-30,12,Major revision,DSL-003,15,https://internal/view/7
NGAS_Process_Model,1.8,Data Flow,Reporting System,Simple,H. Walker,Reporting,0.40,2025-03-22,Update Pending,,Standard,Draft,45,2025-12-02 08:33:41,H. Walker,No,Report generation flow,Unclaimed,Reporting,https://internal/diagram/8,DOC-008,G. Hall,GUID-PARENT-004,11,NGAS_Process_Model\Draft\Reporting,GUID-008,2025-05-18,2025-12-02,15,New reports added,DSL-002,5,https://internal/view/8
NGAS_Process_Model,1.9,System Context,Integration Hub,BPMN,I. Young,Integration,0.72,2025-06-08,Approved,2025-07-01,Enterprise,Approved,100,2025-08-25 14:12:56,I. Young,Yes,Central integration point,Active,Integration,https://internal/diagram/9,DOC-009,J. King,GUID-PARENT-004,36,NGAS_Process_Model\Approved\Hub,GUID-009,2025-07-28,2025-08-25,0,,DSL-001,21,https://internal/view/9
NGAS_Process_Model,1.10,Process Flow,Change Management,Simple,K. Wright,Governance,0.25,2025-01-15,Update Pending,,Standard,Draft,30,2025-11-20 15:48:33,K. Wright,No,Change control process,Unclaimed,Governance,https://internal/diagram/10,DOC-010,L. Lopez,GUID-PARENT-005,9,NGAS_Process_Model\Draft\ChangeManagement,GUID-010,2025-04-12,2025-11-20,20,Initial draft,DSL-003,3,https://internal/view/10
NGAS_Process_Model,2.1,Process Flow,Supply Chain Overview,Simple,B. Hill,Supply Chain,0.48,2025-04-05,Approved,2025-05-15,Standard,Approved,100,2025-10-10 11:22:18,B. Hill,Yes,End-to-end supply chain,Active,Supply Chain,https://internal/diagram/11,DOC-011,C. Scott,GUID-PARENT-005,42,NGAS_Process_Model\Approved\SupplyChain,GUID-011,2025-09-05,2025-10-10,4,Vendor updates,DSL-001,25,https://internal/view/11
NGAS_Process_Model,2.2,Data Flow,Inventory Tracking,Simple,D. Green,Logistics,0.38,2025-02-20,In Review,2025-03-20,Standard,Draft,70,2025-11-25 09:07:44,D. Green,Yes,Inventory data flow,In Progress,Logistics,https://internal/diagram/12,DOC-012,E. Adams,GUID-PARENT-006,18,NGAS_Process_Model\Draft\Inventory,GUID-012,2025-06-30,2025-11-25,9,System integration,DSL-002,10,https://internal/view/12
NGAS_Process_Model,2.3,System Context,Vendor Portal,BPMN,F. Baker,Procurement,0.58,2025-05-25,Approved,2025-06-15,Enterprise,Approved,100,2025-09-08 16:41:29,F. Baker,No,Vendor interface diagram,Active,Procurement,https://internal/diagram/13,DOC-013,G. Nelson,GUID-PARENT-006,13,NGAS_Process_Model\Approved\VendorPortal,GUID-013,2025-08-01,2025-09-08,2,Portal updates,DSL-001,7,https://internal/view/13
NGAS_Process_Model,2.4,Process Flow,Order Processing,Simple,H. Carter,Operations,0.30,2025-01-28,Update Pending,,Standard,Draft,55,2025-12-01 12:18:52,H. Carter,Yes,Order fulfillment steps,Unclaimed,Operations,https://internal/diagram/14,DOC-014,I. Mitchell,GUID-PARENT-007,24,NGAS_Process_Model\Draft\Orders,GUID-014,2025-05-22,2025-12-01,14,Process optimization,DSL-003,13,https://internal/view/14
NGAS_Process_Model,2.5,Data Flow,Financial Reporting,Simple,J. Perez,Finance,0.65,2025-06-15,Approved,2025-07-15,Standard,Approved,100,2025-08-30 10:35:16,J. Perez,No,Financial data pipeline,Active,Finance,https://internal/diagram/15,DOC-015,K. Roberts,GUID-PARENT-007,16,NGAS_Process_Model\Approved\Finance,GUID-015,2025-07-25,2025-08-30,1,Quarter update,DSL-002,8,https://internal/view/15
